,source,target,ligand,receptor,cpm_threshold,species
8634,ESF1,Epi-Lumen,ACER2,S1PR1,False,Echinops_telfairi
8635,ESF1,Epi-Lumen,ACER2,S1PR2,False,Echinops_telfairi
8636,ESF1,Epi-Lumen,ACER2,S1PR3,False,Echinops_telfairi
8637,ESF1,Epi-Lumen,ACER2,S1PR4,False,Echinops_telfairi
8638,ESF1,Epi-Lumen,ACER3,S1PR1,False,Echinops_telfairi
8639,ESF1,Epi-Lumen,ACER3,S1PR2,False,Echinops_telfairi
8640,ESF1,Epi-Lumen,ACER3,S1PR3,False,Echinops_telfairi
8641,ESF1,Epi-Lumen,ACER3,S1PR4,False,Echinops_telfairi
8352,ESF1,Epi-Lumen,ADCYAP1,VIPR2,False,Echinops_telfairi
8353,ESF1,Epi-Lumen,ADM,CALCR,False,Echinops_telfairi
8354,ESF1,Epi-Lumen,ADM,CALCRL,False,Echinops_telfairi
8355,ESF1,Epi-Lumen,AGRP,MC3R,False,Echinops_telfairi
8356,ESF1,Epi-Lumen,AGRP,MC5R,False,Echinops_telfairi
8642,ESF1,Epi-Lumen,ALOX5,CYSLTR1,False,Echinops_telfairi
8643,ESF1,Epi-Lumen,ALOX5AP,CYSLTR1,False,Echinops_telfairi
8357,ESF1,Epi-Lumen,ANGPTL2,TLR4,False,Echinops_telfairi
8644,ESF1,Epi-Lumen,ASAH1,S1PR1,False,Echinops_telfairi
8645,ESF1,Epi-Lumen,ASAH1,S1PR2,False,Echinops_telfairi
8646,ESF1,Epi-Lumen,ASAH1,S1PR3,False,Echinops_telfairi
8647,ESF1,Epi-Lumen,ASAH1,S1PR4,False,Echinops_telfairi
8696,ESF1,Epi-Lumen,ASIP,MC3R,False,Echinops_telfairi
8697,ESF1,Epi-Lumen,ASIP,MC5R,False,Echinops_telfairi
8358,ESF1,Epi-Lumen,BAG6,NCR3,False,Echinops_telfairi
8359,ESF1,Epi-Lumen,BDNF,NGFR,False,Echinops_telfairi
8360,ESF1,Epi-Lumen,BDNF,NTRK2,False,Echinops_telfairi
8361,ESF1,Epi-Lumen,BMP10,ACVRL1,False,Echinops_telfairi
8362,ESF1,Epi-Lumen,BMP10,BMPR2,False,Echinops_telfairi
8363,ESF1,Epi-Lumen,BMP15,BMPR2,False,Echinops_telfairi
8364,ESF1,Epi-Lumen,BMP2,BMPR1A,False,Echinops_telfairi
8365,ESF1,Epi-Lumen,BMP2,BMPR1B,False,Echinops_telfairi
8366,ESF1,Epi-Lumen,BMP2,BMPR2,False,Echinops_telfairi
8367,ESF1,Epi-Lumen,BMP2,SMO,False,Echinops_telfairi
8368,ESF1,Epi-Lumen,BMP5,ACVR2B,False,Echinops_telfairi
8370,ESF1,Epi-Lumen,BMP5,BMPR1A,False,Echinops_telfairi
8371,ESF1,Epi-Lumen,BMP5,BMPR1B,False,Echinops_telfairi
8369,ESF1,Epi-Lumen,BMP5,BMPR2,False,Echinops_telfairi
8372,ESF1,Epi-Lumen,BMP6,ACVR2B,False,Echinops_telfairi
8374,ESF1,Epi-Lumen,BMP6,BMPR1A,False,Echinops_telfairi
8375,ESF1,Epi-Lumen,BMP6,BMPR1B,False,Echinops_telfairi
8373,ESF1,Epi-Lumen,BMP6,BMPR2,False,Echinops_telfairi
8376,ESF1,Epi-Lumen,BTC,ERBB4,False,Echinops_telfairi
8377,ESF1,Epi-Lumen,CALCB,CALCR,False,Echinops_telfairi
8378,ESF1,Epi-Lumen,CALCB,CALCRL,False,Echinops_telfairi
8379,ESF1,Epi-Lumen,CCK,CCKAR,False,Echinops_telfairi
8380,ESF1,Epi-Lumen,CCK,CCKBR,False,Echinops_telfairi
8381,ESF1,Epi-Lumen,CCL11,ACKR4,False,Echinops_telfairi
8382,ESF1,Epi-Lumen,CCL11,DPP4,False,Echinops_telfairi
8383,ESF1,Epi-Lumen,CCL21,ACKR4,False,Echinops_telfairi
8384,ESF1,Epi-Lumen,CCL21,CCR7,False,Echinops_telfairi
8385,ESF1,Epi-Lumen,CD70,TNFRSF13B,False,Echinops_telfairi
8386,ESF1,Epi-Lumen,CD70,TNFRSF17,False,Echinops_telfairi
8387,ESF1,Epi-Lumen,CD80,CTLA4,False,Echinops_telfairi
8388,ESF1,Epi-Lumen,CER1,MRC2,False,Echinops_telfairi
8389,ESF1,Epi-Lumen,CGA,FSHR,False,Echinops_telfairi
8390,ESF1,Epi-Lumen,CGA,TSHR,False,Echinops_telfairi
8391,ESF1,Epi-Lumen,CKLF,LRP6,False,Echinops_telfairi
8394,ESF1,Epi-Lumen,CRH,CRHR2,False,Echinops_telfairi
8395,ESF1,Epi-Lumen,CSF1,CSF1R,False,Echinops_telfairi
8396,ESF1,Epi-Lumen,CSF3,CSF3R,False,Echinops_telfairi
8397,ESF1,Epi-Lumen,CXCL10,DPP4,False,Echinops_telfairi
8398,ESF1,Epi-Lumen,CXCL11,ACKR3,False,Echinops_telfairi
8399,ESF1,Epi-Lumen,CXCL11,DPP4,False,Echinops_telfairi
8400,ESF1,Epi-Lumen,CXCL12,ACKR3,False,Echinops_telfairi
8401,ESF1,Epi-Lumen,CXCL12,CXCR4,False,Echinops_telfairi
8402,ESF1,Epi-Lumen,CXCL12,DPP4,False,Echinops_telfairi
8403,ESF1,Epi-Lumen,CXCL13,ACKR4,False,Echinops_telfairi
8404,ESF1,Epi-Lumen,CXCL13,CXCR5,False,Echinops_telfairi
8648,ESF1,Epi-Lumen,CYP19A1,GPER1,False,Echinops_telfairi
8649,ESF1,Epi-Lumen,DDC,DRD2,False,Echinops_telfairi
8650,ESF1,Epi-Lumen,DDC,DRD3,False,Echinops_telfairi
8651,ESF1,Epi-Lumen,DDC,DRD4,False,Echinops_telfairi
8652,ESF1,Epi-Lumen,DDC,DRD5,False,Echinops_telfairi
8653,ESF1,Epi-Lumen,DDC,HTR2A,False,Echinops_telfairi
8654,ESF1,Epi-Lumen,DDC,HTR2B,False,Echinops_telfairi
8655,ESF1,Epi-Lumen,DDC,HTR2C,False,Echinops_telfairi
8656,ESF1,Epi-Lumen,DDC,HTR4,False,Echinops_telfairi
8657,ESF1,Epi-Lumen,DDC,HTR6,False,Echinops_telfairi
8658,ESF1,Epi-Lumen,DDC,HTR7,False,Echinops_telfairi
8659,ESF1,Epi-Lumen,DDC,TAAR1,False,Echinops_telfairi
8405,ESF1,Epi-Lumen,DHH,SMO,False,Echinops_telfairi
8406,ESF1,Epi-Lumen,DLL3,NOTCH2,False,Echinops_telfairi
8407,ESF1,Epi-Lumen,DLL3,NOTCH3,False,Echinops_telfairi
8408,ESF1,Epi-Lumen,DLL3,NOTCH4,False,Echinops_telfairi
8409,ESF1,Epi-Lumen,DLL4,NOTCH2,False,Echinops_telfairi
8410,ESF1,Epi-Lumen,DLL4,NOTCH3,False,Echinops_telfairi
8411,ESF1,Epi-Lumen,DLL4,NOTCH4,False,Echinops_telfairi
8412,ESF1,Epi-Lumen,DPP4,CXCL12,False,Echinops_telfairi
8413,ESF1,Epi-Lumen,EDA,EDAR,False,Echinops_telfairi
8414,ESF1,Epi-Lumen,EDN1,EDNRA,False,Echinops_telfairi
8415,ESF1,Epi-Lumen,EDN2,EDNRA,False,Echinops_telfairi
8416,ESF1,Epi-Lumen,ENHO,GPR19,False,Echinops_telfairi
8660,ESF1,Epi-Lumen,ENPP2,LPAR2,False,Echinops_telfairi
8661,ESF1,Epi-Lumen,ENPP2,LPAR3,False,Echinops_telfairi
8662,ESF1,Epi-Lumen,ENPP2,LPAR5,False,Echinops_telfairi
8663,ESF1,Epi-Lumen,ENPP2,LPAR6,False,Echinops_telfairi
8664,ESF1,Epi-Lumen,ENPP2,S1PR1,False,Echinops_telfairi
8665,ESF1,Epi-Lumen,ENPP2,S1PR2,False,Echinops_telfairi
8666,ESF1,Epi-Lumen,ENPP2,S1PR3,False,Echinops_telfairi
8667,ESF1,Epi-Lumen,ENPP2,S1PR4,False,Echinops_telfairi
8417,ESF1,Epi-Lumen,EREG,ERBB4,False,Echinops_telfairi
8418,ESF1,Epi-Lumen,FAM3C,GLRA2,False,Echinops_telfairi
8419,ESF1,Epi-Lumen,FAM3C,LAMP1,False,Echinops_telfairi
8420,ESF1,Epi-Lumen,FGF1,FGFR1,False,Echinops_telfairi
8421,ESF1,Epi-Lumen,FGF1,FGFR2,False,Echinops_telfairi
8422,ESF1,Epi-Lumen,FGF1,FGFR4,False,Echinops_telfairi
8423,ESF1,Epi-Lumen,FGF1,TGFBR3,False,Echinops_telfairi
8424,ESF1,Epi-Lumen,FGF20,FGFR1,False,Echinops_telfairi
8425,ESF1,Epi-Lumen,FGF20,FGFR2,False,Echinops_telfairi
8426,ESF1,Epi-Lumen,FGF20,FGFR4,False,Echinops_telfairi
8427,ESF1,Epi-Lumen,FGF21,FGFR1,False,Echinops_telfairi
8428,ESF1,Epi-Lumen,FGF23,FGFR1,False,Echinops_telfairi
8429,ESF1,Epi-Lumen,FGF23,FGFR2,False,Echinops_telfairi
8430,ESF1,Epi-Lumen,FGF23,FGFR4,False,Echinops_telfairi
8431,ESF1,Epi-Lumen,FGF4,FGFR1,False,Echinops_telfairi
8432,ESF1,Epi-Lumen,FGF4,FGFR2,False,Echinops_telfairi
8433,ESF1,Epi-Lumen,FGF4,FGFR4,False,Echinops_telfairi
8434,ESF1,Epi-Lumen,FGF5,FGFR1,False,Echinops_telfairi
8435,ESF1,Epi-Lumen,FGF5,FGFR2,False,Echinops_telfairi
8436,ESF1,Epi-Lumen,FGF5,FGFR4,False,Echinops_telfairi
8437,ESF1,Epi-Lumen,FGF6,FGFR1,False,Echinops_telfairi
8438,ESF1,Epi-Lumen,FGF6,FGFR2,False,Echinops_telfairi
8439,ESF1,Epi-Lumen,FGF6,FGFR4,False,Echinops_telfairi
8440,ESF1,Epi-Lumen,FGF7,FGFR1,False,Echinops_telfairi
8441,ESF1,Epi-Lumen,FGF7,FGFR2,False,Echinops_telfairi
8442,ESF1,Epi-Lumen,FGF7,FGFR4,False,Echinops_telfairi
8443,ESF1,Epi-Lumen,FGF9,FGFR1,False,Echinops_telfairi
8444,ESF1,Epi-Lumen,FGF9,FGFR2,False,Echinops_telfairi
8445,ESF1,Epi-Lumen,FGF9,FGFR4,False,Echinops_telfairi
8446,ESF1,Epi-Lumen,FGFR4,FGF9,False,Echinops_telfairi
8447,ESF1,Epi-Lumen,FSHB,FSHR,False,Echinops_telfairi
8448,ESF1,Epi-Lumen,GCG,DPP4,False,Echinops_telfairi
8449,ESF1,Epi-Lumen,GCG,GIPR,False,Echinops_telfairi
8450,ESF1,Epi-Lumen,GCG,GLP1R,False,Echinops_telfairi
8451,ESF1,Epi-Lumen,GCG,GLP2R,False,Echinops_telfairi
8452,ESF1,Epi-Lumen,GDF2,ACVRL1,False,Echinops_telfairi
8453,ESF1,Epi-Lumen,GDF2,BMPR2,False,Echinops_telfairi
8454,ESF1,Epi-Lumen,GDF3,ACVR2B,False,Echinops_telfairi
8455,ESF1,Epi-Lumen,GDF5,BMPR1A,False,Echinops_telfairi
8456,ESF1,Epi-Lumen,GDF5,BMPR1B,False,Echinops_telfairi
8457,ESF1,Epi-Lumen,GDF5,BMPR2,False,Echinops_telfairi
8458,ESF1,Epi-Lumen,GDF6,BMPR1A,False,Echinops_telfairi
8459,ESF1,Epi-Lumen,GDF6,BMPR1B,False,Echinops_telfairi
8460,ESF1,Epi-Lumen,GDF6,BMPR2,False,Echinops_telfairi
8461,ESF1,Epi-Lumen,GDF9,TGFBR1,False,Echinops_telfairi
8462,ESF1,Epi-Lumen,GDNF,RET,False,Echinops_telfairi
8463,ESF1,Epi-Lumen,GHRH,GHRHR,False,Echinops_telfairi
8464,ESF1,Epi-Lumen,GHRH,GHSR,False,Echinops_telfairi
8465,ESF1,Epi-Lumen,GHRH,VIPR2,False,Echinops_telfairi
8466,ESF1,Epi-Lumen,GHRL,GHRHR,False,Echinops_telfairi
8467,ESF1,Epi-Lumen,GHRL,GHSR,False,Echinops_telfairi
8698,ESF1,Epi-Lumen,GIP,ADGRB2,False,Echinops_telfairi
8468,ESF1,Epi-Lumen,GIP,DPP4,False,Echinops_telfairi
8469,ESF1,Epi-Lumen,GIP,GIPR,False,Echinops_telfairi
8668,ESF1,Epi-Lumen,GLS,GRM1,False,Echinops_telfairi
8669,ESF1,Epi-Lumen,GLS,GRM2,False,Echinops_telfairi
8670,ESF1,Epi-Lumen,GLS,GRM3,True,Echinops_telfairi
8671,ESF1,Epi-Lumen,GLS,GRM4,False,Echinops_telfairi
8672,ESF1,Epi-Lumen,GLS,GRM5,False,Echinops_telfairi
8673,ESF1,Epi-Lumen,GLS,GRM6,False,Echinops_telfairi
8674,ESF1,Epi-Lumen,GLS,GRM7,False,Echinops_telfairi
8470,ESF1,Epi-Lumen,GNRH1,GNRHR,False,Echinops_telfairi
8471,ESF1,Epi-Lumen,GRN,TNFRSF1A,False,Echinops_telfairi
8472,ESF1,Epi-Lumen,GRN,TNFRSF1B,False,Echinops_telfairi
8473,ESF1,Epi-Lumen,GUCA2A,GUCY2C,False,Echinops_telfairi
8474,ESF1,Epi-Lumen,GUCA2B,GUCY2C,False,Echinops_telfairi
8475,ESF1,Epi-Lumen,HBEGF,ERBB4,False,Echinops_telfairi
8476,ESF1,Epi-Lumen,HCRT,HCRTR1,False,Echinops_telfairi
8675,ESF1,Epi-Lumen,HDC,HRH1,False,Echinops_telfairi
8676,ESF1,Epi-Lumen,HDC,HRH3,False,Echinops_telfairi
8477,ESF1,Epi-Lumen,HGF,MET,False,Echinops_telfairi
8677,ESF1,Epi-Lumen,HSD11B1,NR3C1,False,Echinops_telfairi
8678,ESF1,Epi-Lumen,HSD17B1,GPER1,False,Echinops_telfairi
8679,ESF1,Epi-Lumen,HSD17B2,ESR1,False,Echinops_telfairi
8680,ESF1,Epi-Lumen,HSD17B2,ESR2,False,Echinops_telfairi
8681,ESF1,Epi-Lumen,HSD17B2,GPER1,False,Echinops_telfairi
8478,ESF1,Epi-Lumen,IFNB1,IFNAR2,False,Echinops_telfairi
8479,ESF1,Epi-Lumen,IFNG,IFNGR2,False,Echinops_telfairi
8480,ESF1,Epi-Lumen,IFNK,IFNAR2,False,Echinops_telfairi
8481,ESF1,Epi-Lumen,IGF1,IGF1R,False,Echinops_telfairi
8482,ESF1,Epi-Lumen,IHH,SMO,False,Echinops_telfairi
